id,label,category,note,highlight,"Lien (Article, Interface)","Impact sur le sujet (sur 10) (Article, Entreprise / Institution, Personne, Service / Fonction, Notion, Nation, Modèle, Interface)",Par (Article),"Date (Article, Service / Fonction, Modèle, Interface)",Siège social / Localisation (Entreprise / Institution),Domaine d'activité (Entreprise / Institution),Nationalité (Personne),Société (Personne),Type de modèle (Modèle)
91,Kima Ventures,Entreprise / Institution,,,,5,,,France,Fond d'investissement,,,
90,NJJ,Entreprise / Institution,,,,4,,,France,Fond d'investissement,,,
89,Station F,Entreprise / Institution,,,,4,,,France,Incubateur de start-up,,,
88,ai.pulse,Entreprise / Institution,,,,6,,,France,Conférence sur l'IA,,,
87,Scaleway,Entreprise / Institution,,,,4,,,France,Hébergeur web,,,
86,Illiad Group,Entreprise / Institution,,,,7,,,France,Télécommunication,,,
85,Moteur de recherche augmenté,Notion,,,,3,,,,,,,
84,Perplexity,Interface,"Moteur de recherche optimisé par l'IA génératives (différents modèles). A récemment développé ses propres modèles, dont on ne sait pas s'ils ont déjà été mis en production (https://twitter.com/perplexity_ai/status/1729893537649438809).",,https://www.perplexity.ai,3,,2022,,,,,
83,YOU.com,Interface,,,https://you.com/,3,,2020,,,,,
82,NVIDIA,Entreprise / Institution,,,,5,,,Etats-Unis,Composants informatiques,,,
81,Anlatan,Entreprise / Institution,,,,8,,,Etats-Unis,Service d'écriture assistée par IA,,,
80,NovelAI,Interface,"IA qui aide les écrivains, créateurs de contenu à écrire des histoires en générant des idées de contenu.",green,https://novelai.net/,8,,15/06/2021,,,,,
79,Ecriture générative,Notion,,green,,9,,,,,,,
78,Premiers modèles GPT,Modèle,,,,7,,,,,,,Open Source
77,Course Hero,Entreprise / Institution,,,,3,,,Etats-Unis,Plateforme éducative,,,
76,Metavers,Notion,,,,4,,,,,,,
75,Réalité virtuelle,Notion,,,,3,,,,,,,
74,Artur Sychov,Personne,,,,,,,,,République Tchèque,Somnium Space,
73,République Tchèque,Nation,,blue,,6,,,,,,,
72,Royaume-Uni,Nation,,blue,,5,,,,,,,
71,Live Forever,Service / Fonction,,yellow,,9,,,,,,,
